,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
491,CNN,128,1,16800,2.7273974418640137,1.9431672096252441,0.9276909828186035,0.9413999915122986,Oliver
492,RNN,128,1,17400,4.254823923110962,1.7832987308502197,1.25150465965271,0.7671999931335449,Oliver
493,FNN,128,1,17400,3.7118444442749023,2.628740072250366,0.93526291847229,0.899399995803833,Oliver
494,CNN,128,1,17400,2.6831181049346924,1.9808239936828613,0.9076752662658691,0.9417999982833862,Oliver
495,RNN,128,1,18000,4.097417116165161,1.6785178184509277,1.2856628894805908,0.7534000277519226,Oliver
496,FNN,128,1,18000,4.055968284606934,3.0532755851745605,1.0327136516571045,0.8881000280380249,Oliver
497,CNN,128,1,18000,2.8414673805236816,1.9845504760742188,0.7966508865356445,0.9391000270843506,Oliver
498,RNN,128,1,18600,4.007837533950806,1.7024476528167725,1.3606274127960205,0.7567999958992004,Oliver
499,FNN,128,1,18600,4.164341688156128,3.1349713802337646,1.0443663597106934,0.9053000211715698,Oliver
500,CNN,128,1,18600,2.7619922161102295,1.9209964275360107,0.8395345211029053,0.9430999755859375,Oliver
501,RNN,128,1,19200,4.490067005157471,1.8795580863952637,1.288226842880249,0.7591999769210815,Oliver
502,FNN,128,1,19200,3.5587260723114014,2.5008511543273926,0.8938922882080078,0.901199996471405,Oliver
503,CNN,128,1,19200,2.8899102210998535,2.0096845626831055,0.8318991661071777,0.9455999732017517,Oliver
504,RNN,128,1,19800,4.1354310512542725,1.6919734477996826,1.2593498229980469,0.7638999819755554,Oliver
505,FNN,128,1,19800,3.4911859035491943,2.572822332382202,0.8592381477355957,0.8744000196456909,Oliver
506,CNN,128,1,19800,2.7014572620391846,1.7290656566619873,0.8059818744659424,0.9447000026702881,Oliver
507,RNN,128,1,20400,4.010363340377808,1.553725004196167,1.427772045135498,0.7574999928474426,Oliver
508,FNN,128,1,20400,3.5658297538757324,2.4313931465148926,0.8210420608520508,0.8977000117301941,Oliver
509,CNN,128,1,20400,2.751007556915283,1.964914321899414,0.8148071765899658,0.9452999830245972,Oliver
510,RNN,128,1,21000,3.982152223587036,1.5555267333984375,1.2867803573608398,0.7135000228881836,Oliver
511,FNN,128,1,21000,3.3627424240112305,2.41458797454834,0.7988018989562988,0.90420001745224,Oliver
512,CNN,128,1,21000,2.875542402267456,1.9731414318084717,0.8429803848266602,0.9484999775886536,Oliver
513,RNN,128,1,21600,3.937098979949951,1.676253080368042,1.4509596824645996,0.8201000094413757,Oliver
514,FNN,128,1,21600,3.314507007598877,2.2560245990753174,0.7685916423797607,0.9031999707221985,Oliver
515,CNN,128,1,21600,2.772686719894409,1.9457368850708008,0.7812762260437012,0.9473999738693237,Oliver
516,RNN,128,1,22200,3.9169223308563232,1.5983948707580566,1.4228637218475342,0.8131999969482422,Oliver
517,FNN,128,1,22200,3.1507925987243652,2.179931640625,0.8460769653320312,0.9027000069618225,Oliver
518,CNN,128,1,22200,2.9096028804779053,1.7156946659088135,0.77390456199646,0.9503999948501587,Oliver
519,RNN,128,1,22800,3.8958401679992676,1.5420677661895752,1.238257884979248,0.836899995803833,Oliver
520,FNN,128,1,22800,3.082327365875244,1.9919357299804688,0.8011300563812256,0.8932999968528748,Oliver
521,CNN,128,1,22800,2.7436931133270264,2.023501396179199,0.7825815677642822,0.9478999972343445,Oliver
